# PGEN regex parser parse-time p50, in nanoseconds.
# Methodology: cargo run --release, default allocator,
# 5000 samples per pattern, 200 warmup samples discarded.
# Format: <name>\t<p50_ns>\t<min_ns>\t<mean_ns>\t<p99_ns>\t<max_ns>
literal_simple	1083	916	1087	1333	10042
digit_sequence	2167	2041	2201	2416	26875
character_class	10750	9792	10949	12833	69125
alternation	2042	1916	2064	2209	23375
capture_groups	4833	4541	4970	7625	100458
url_simple	1666	1541	1698	2125	53542
email_basic	1666	1500	1659	1750	2083
anchor_complex	5667	5375	5849	8500	82708
