# PGEN regex parser parse-time p50, in nanoseconds.
# Methodology: cargo run --release, default allocator,
# 5000 samples per pattern, 200 warmup samples discarded.
# Format: <name>\t<p50_ns>\t<min_ns>\t<mean_ns>\t<p99_ns>\t<max_ns>
literal_simple	1083	917	1077	1208	2583
digit_sequence	2125	1917	2130	2292	8083
character_class	10333	9958	10532	11750	61542
alternation	2000	1875	1994	2167	7375
capture_groups	4708	4500	4698	4875	10292
url_simple	1625	1500	1619	1709	6834
email_basic	1625	1500	1647	1792	17708
anchor_complex	5500	5250	5555	6208	29083
